Grado,0,Mostro,Dim.,Family,Fiamma,Bang,Vento,Gelo,Fulmine,Elektron,Pyro,Respiro caldo,Respiro gelido,Donk,Morte rapida,Illusyo,Veleno,Confusione,Inazione,Paralisi,Sonno,Sag,Sap,Velocimeno,Dim,Boccachiusa,Danza ipnotica,Attacco,Rubamagia,Contromagia,Abiliterator,Sabotaggio magico
C,181,Metaldragone,1,Dragon,,,,,,,^50%,,,-25%,Immune,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,Immune
C,182,Barracuda,1,Nature,,^50%,,^50%,,,-25%,,^50%,,,,-25%,-25%,-25%,^50%,-25%,,,-25%,^50%,,Immune,,Immune,,,
C,183,Pipit,1,Nature,,^50%,Immune,,Immune,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
C,184,Mezzo porco,2,Beast,^50%,,,-25%,,,,,,,^50%,,Immune,^50%,Immune,^50%,-25%,-25%,,^50%,,,,Immune,,,Immune,
C,185,Dademone blu,1,Beast,^50%,,,-25%,,,,,,,,,Immune,Immune,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
C,186,Golem,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,^50%,^50%,^50%,,-25%,,Immune,,,,,,,
C,187,Riditarra,1,Demon,,,,Immune,,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,Immune,,Immune,,
C,188,Cerbero,1,Zombie,^50%,,,,,^50%,,^50%,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,^50%
C,189,Cyber Slime,1,Slime,,,,,^50%,-25%,,,,,,Immune,,Immune,,,,^50%,Immune,-25%,,,,Immune,-25%,^50%,,Immune
C,190,Metaliquislime,1,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,^50%,,,,Immune,Immune,Immune,,^25%,Immune,Immune
C,191,Dragarcio,1,Dragon,,,,Immune,,,^50%,,,-25%,,^50%,-25%,-25%,,,,,-25%,,^50%,Immune,Immune,Immune,,,,
C,192,Crostaceus,1,Nature,,^50%,,,,,-25%,,,,-25%,,,Immune,-25%,^50%,,,Immune,-25%,^50%,,Immune,,Immune,,,
C,193,Lleviathan ,3,Nature,,^50%,,,,,-25%,,,,Immune,,Immune,Immune,Immune,Immune,Immune,,,-25%,^50%,,Immune,,Immune,,,
C,194,Pocomacho,1,Beast,^50%,,,-25%,,,,,,Immune,,,Immune,-25%,^50%,,-25%,-25%,,^50%,,,Immune,,,,Immune,
C,195,Lince alata,3,Beast,^50%,,Absorb,-25%,,,,,,,Immune,,Immune,Immune,Immune,^50%,Immune,-25%,,^50%,,,,,,,Immune,
C,196,Grifone,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,Immune
C,197,Custode tetro,1,Demon,Immune,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,Immune,,Immune,,
B,198,Magislime,1,Slime,,,,,^25%,Immune,,,,,,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
B,199,Megacertola,1,Dragon,,,,,,,^50%,Immune,,-25%,,Immune,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
B,200,Mandrake Marshal ,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,-25%,Immune,
B,201,Scarafante nero,1,Nature,-25%,^50%,,,,,-25%,,,,,,,,-25%,^50%,Immune,,,-25%,^50%,,Immune,,Immune,,Immune,
B,202,Penna di fuoco,1,Beast,Absorb,,,-25%,,,,Absorb,-25%,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
B,203,Magmalvagio,1,Material,Absorb,,-25%,-25%,,,,Absorb,-25%,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
B,204,Capitan Catastrofe,1,Demon,,,,^50%,-25%,,Immune,,,,,,-25%,^50%,Immune,-25%,-25%,,,^50%,-25%,,,,,Immune,,
B,205,Principe Spectros,1,Zombie,-25%,,,,-25%,^50%,,,,,Immune,-25%,^50%,^50%,^50%,^50%,^50%,,^50%,,-25%,,,,,,,
B,206,Soldaskeletro,1,Zombie,-25%,,,,,^50%,,,,,Immune,-25%,^50%,Immune,Immune,Immune,,,^50%,,-25%,,,,,,,
B,207,Slime oscuro,1,Slime,,,,,,Absorb,,,,,,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
B,208,Tyrantosauro,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,,,Immune,-25%,-25%,^50%,Immune,,Immune,,,,
B,209,Mantis composita,1,Nature,,^50%,,,,,-25%,,,,,,Immune,Immune,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
B,210,Pollo d'attacco,1,Beast,^50%,,Immune,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,Immune,,-25%,Immune,
B,211,Rottame d'acciaio,1,Material,,,-25%,,Immune,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
B,212,Druido del male,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,Immune
B,213,Cavalier Mortimer,1,Zombie,-25%,,,,-25%,^50%,,,,,,-25%,^50%,^50%,^50%,^50%,Immune,,^50%,,-25%,,,,,,,
B,214,Ira,1,Zombie,-25%,,,,-25%,^50%,Immune,,,,Immune,,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
B,215,Ovomarch,1,Slime,,,,,Immune,Immune,,,,,,Immune,,,,,,^50%,,-25%,,,,,Immune,^25%,,Immune
B,216,Serpe eterea,2,Dragon,,,-25%,-25%,,,^50%,Immune,,-25%,^50%,^50%,-25%,^50%,^50%,^50%,^50%,,-25%,,^50%,Immune,,Immune,,,,
B,217,Falena gigante,1,Nature,-25%,^50%,,,,,-25%,,,,,Immune,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
B,218,Sanguonicum,1,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,,Immune,,,Immune,,,,Immune,
B,219,Skrigno dentato,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,Immune
B,220,Juggulare,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,Immune,,,Immune,,
B,221,Arcidemone,1,Demon,,Immune,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
B,222,Ossassassino,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,Immune,^50%,,-25%,,,,,,Immune,
B,223,Milislime oscuro,1,Slime,,,,,^25%,Immune,,,,,,Immune,,,,,,^50%,,-25%,,,,Immune,-25%,^50%,,Immune
B,224,Meglaodon,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,Immune,,Immune
B,225,Frufrù,1,Dragon,,,,,,,^50%,Immune,,-25%,Immune,Immune,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
B,226,Goreilla,1,Nature,,^50%,,,,,-25%,,,,,Immune,,-25%,-25%,^50%,,Immune,,-25%,^50%,,Immune,,Immune,,,
B,227,Rossotalpa,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,^50%,Immune,,Immune,,,,Immune,
B,228,Squigno,1,Beast,^50%,,,-25%,,,,,,,Immune,Immune,Immune,,^50%,,-25%,-25%,,^50%,,,Immune,,,,Immune,
B,229,Corriere Corrotto,1,Material,,Immune,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,Immune,Immune,,,,,,Immune,
B,230,Armatura letale,1,Demon,,,,^50%,-25%,,,,,,,,,Immune,Immune,-25%,,,,^50%,-25%,,,Immune,,Immune,,
B,231,Boss Troll ,2,Demon,,,,^50%,-25%,,-25%,,,,Immune,Immune,,Immune,Immune,-25%,Immune,,,^50%,-25%,,,,,Immune,,
B,232,Jamirus,1,Demon,,,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
B,233,Cavalier Terror,1,Zombie,-25%,,,Immune,-25%,^50%,,,,,,-25%,^50%,Immune,,Immune,,Immune,^50%,,-25%,,,,,,,
B,234,Ragin' Contagion ,1,Zombie,-25%,,,,,^50%,,,,,Immune,-25%,Immune,Immune,,Immune,,,^50%,,-25%,,,,,,,
B,235,Multifoglia Klar,1,Slime,,,,,^50%,-25%,,,,,,Immune,,,,,,^50%,Immune,-25%,Immune,,Immune,,-25%,^50%,,Immune
B,236,Dragoon,1,Dragon,,,,,,,Immune,,,-25%,,^50%,-25%,,,,Immune,,-25%,,^50%,Immune,,Immune,,,,
B,237,Cavaliere dei Draghi,1,Dragon,,,Immune,,,,^50%,,,-25%,Immune,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
B,238,Corvoscuro,1,Nature,,^50%,,,,,-25%,,,,Immune,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
B,239,Tanamount,1,Beast,Immune,,,-25%,,,Immune,Immune,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
B,240,Jam,1,Material,,,-25%,,,,,,,^50%,Immune,,^50%,-25%,,,Immune,^50%,-25%,,Immune,,Immune,-25%,,,,
B,241,Cavaliere Aberrante,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,Immune,,,Immune,,
B,242,Cobra Cardinal ,1,Zombie,-25%,,,,-25%,^50%,,,,Immune,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
B,243,Re Curaslime,1,Slime,,,,,^50%,-25%,,,,,Immune,Immune,,,,,,^50%,,-25%,,,,,,Immune,,Immune
B,244,Lardodragon,1,Dragon,,Immune,,,,,^50%,,,-25%,Immune,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
B,245,Lanciafuoco,1,Nature,Immune,^50%,,,,,-25%,Immune,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
B,246,Pachidermico,2,Beast,^50%,Immune,,-25%,,,,,,,^50%,,Immune,^50%,Immune,,-25%,-25%,,^50%,,,,,,,Immune,
B,247,Wasen,3,Beast,^50%,,,-25%,Immune,,,,,Immune,Immune,,Immune,Immune,Immune,Immune,Immune,-25%,,^50%,,-25%,,,,,Immune,
B,248,Signore dei desideri,2,Material,Immune,,-25%,,,,^50%,,,^50%,Immune,,,-25%,^50%,^50%,Immune,^50%,-25%,,Immune,,,Immune,,,,
B,249,Mago pancione,1,Demon,,,Immune,^50%,-25%,,,,,Immune,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
B,250,Cavaliere dell'Ombra,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,Immune,Immune,,,^50%,,-25%,,,Immune,,,,
B,251,Leonix,1,？？？系,^50%,-25%,^50%,,-25%,,,,,,Immune,,^50%,^50%,,^50%,^50%,-25%,^50%,,-25%,,,^50%,^50%,-25%,-25%,
A,252,Tortaceratops,1,Dragon,,Immune,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,Immune,
A,253,Frigoforo,1,Nature,,^50%,Immune,,,,-25%,,Immune,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
A,254,Gigante,2,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,^50%,Immune,^50%,-25%,-25%,-25%,^50%,,,Immune,Immune,,,Immune,
A,255,Mechacentauro,1,Material,,-25%,-25%,,,,,,,^50%,Immune,,Immune,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
A,256,Demone multimani,1,Demon,,,,^50%,-25%,Immune,,,,,Immune,,,^50%,Immune,-25%,,-25%,,^50%,-25%,,,,,Immune,,
A,257,Ruban Hood,1,Demon,,,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,,,,^50%,-25%,,,Immune,,,,
A,258,Kantalga,1,Zombie,-25%,,,^50%,,^50%,,,^50%,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,Immune,,
A,259,Re Bollaslime,1,Slime,,,,,^50%,-25%,,,,,,Immune,Immune,,,Immune,,^50%,,-25%,,,,,-25%,^50%,,Immune
A,260,Rashaverak,1,Dragon,,,,,,Immune,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
A,261,Guerreruspo,1,Nature,,^50%,,,Immune,Immune,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
A,262,Bufalorco,1,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,Immune,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
A,263,Borgomietitore,1,Material,,,-25%,,Immune,,,,,^50%,Immune,,,-25%,,Immune,^50%,^50%,-25%,,Immune,,,,,,,Immune
A,264,Hyperanemon,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,Immune,Immune
A,265,Gigalunfo,1,Zombie,-25%,,Immune,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,Immune,
A,266,Gang Slime,3,Slime,,,,,^50%,-25%,,,,,Immune,-25%,Immune,,Immune,Immune,Immune,^50%,,-25%,,,Immune,,-25%,^50%,Immune,-25%
A,267,Ardimentauro,1,Dragon,,,,,,Immune,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
A,268,Kaiman,1,Nature,,^50%,,,,,-25%,Immune,Immune,,,,,,-25%,^50%,,-25%,,-25%,^50%,,Immune,,Immune,,,
A,269,Marquis De Leon,2,Beast,^50%,,,-25%,,,Absorb,,,-25%,Immune,,Immune,^50%,Immune,^50%,-25%,-25%,,^50%,,Immune,,,,,Immune,
A,270,Centopetra,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,Immune,,,
A,271,Minitribù,1,Demon,Immune,,Immune,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,Immune,,,Immune,,
A,272,Exorsus,2,Zombie,-25%,Immune,Immune,Immune,Immune,Immune,Immune,,,,Immune,-25%,^50%,^50%,^50%,^50%,^50%,,^50%,,-25%,,,,,,,
A,273,Metal Kaiser Slime ,2,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,^50%,,,,Immune,Immune,Immune,,^25%,Immune,Immune
A,274,Gemines,2,Dragon,,,,,,,^50%,,,-25%,Immune,^50%,-25%,^50%,^50%,^50%,^50%,,-25%,Immune,^50%,Immune,,Immune,,,Immune,
A,275,Assalitore marino,1,Nature,,^50%,,,,,-25%,,,,,,-25%,-25%,-25%,^50%,-25%,Immune,,-25%,^50%,,Immune,Immune,Immune,,,
A,276,Cresta furiosa,1,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
A,277,Bo,1,Material,,,-25%,,,,,,,^50%,Immune,,^50%,-25%,,,^50%,^50%,-25%,,Immune,Immune,,-25%,,,,
A,278,Gracos,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,Immune
A,279,Anima torturata,1,Zombie,-25%,,,,-25%,^50%,,,,,Immune,-25%,^50%,Immune,,Immune,Immune,,^50%,,-25%,,,,,,,
A,280,Gigadragone,1,Dragon,,,,,,,^50%,Immune,Immune,-25%,Immune,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
A,281,Virgax,2,Nature,,^50%,,Immune,,,-25%,-25%,,,Immune,,,^50%,-25%,^50%,^50%,,,-25%,^50%,,Immune,,Immune,,,Immune
A,282,Slon la Torre,1,Beast,^50%,,,-25%,,,,Immune,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,Immune,Immune,,,Immune,
A,283,Statua vivente,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,Immune,^50%,-25%,,Immune,,,,,,,
A,284,Scorpia,2,Demon,,,,^50%,-25%,,,,Immune,,Immune,,,Immune,^50%,-25%,^50%,,,Immune,,,,-25%,,Immune,,
A,285,Verme delle Grotte,1,Zombie,-25%,,Immune,Immune,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
A,286,Ultra Slime,1,Slime,,,Immune,,^50%,-25%,,,,,-25%,,-25%,-25%,-25%,-25%,-25%,Immune,Immune,-25%,,,,,-25%,^50%,,Immune
A,287,Garuda,1,Nature,,^50%,,,,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,Immune,,Immune
A,288,Basettos,1,Beast,^50%,,,-25%,,,Immune,,,,Immune,,,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
A,289,Mam,1,Material,,,-25%,,,,,,,^50%,Immune,,^50%,-25%,,,^50%,^50%,-25%,Immune,Immune,,,,,,,
A,290,Barone Von Bellycose,2,Demon,,,Immune,^50%,-25%,Immune,,,,,^50%,,,Immune,^50%,-25%,^50%,,,^50%,-25%,,,,,Immune,,
A,291,Gemon,2,Demon,,,,^50%,-25%,Immune,,,,,^50%,,,Immune,^50%,-25%,^50%,,,Immune,,Immune,,,,Immune,,
A,292,Guardarosa,1,Zombie,-25%,,,,,^50%,,,,Immune,-25%,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,Immune,,
A,293,Paladinorribilis,1,Zombie,-25%,,,Immune,,^50%,,,Immune,,,-25%,^50%,Immune,,Immune,,Immune,^50%,,-25%,,,,,,,
A,294,Slime Nemo,1,Slime,-25%,,,Immune,^50%,-25%,,,,,Reflect,,,,,-25%,,Immune,Immune,^50%,,,,,-25%,^50%,,
A,295,Mechadrago,1,Dragon,,,,,,,Immune,,,-25%,Immune,^50%,-25%,,,Immune,,,-25%,,^50%,Immune,,Immune,,,,
A,296,Fiore della morte,2,Nature,,^50%,^50%,,,,-25%,,-25%,^50%,^50%,,Immune,^50%,-25%,Immune,^50%,,,-25%,^50%,,Immune,,Immune,,,
A,297,Alfino,2,Beast,^50%,Immune,,-25%,,,,,Immune,,Immune,,Immune,^50%,Immune,^50%,-25%,-25%,,^50%,,,,,,,Immune,
A,298,Bu,1,Material,,,-25%,,,,,,,^50%,Immune,,^50%,-25%,,,^50%,^50%,-25%,,Immune,,,,-25%,Immune,,
A,299,Duran,1,Demon,,,Immune,^50%,-25%,,,,,,,Immune,,^50%,Immune,-25%,,Immune,,^50%,-25%,,,,,Immune,,
A,300,Bestiah,1,Demon,,Absorb,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
A,301,Scimmia Zombie,1,Zombie,-25%,,,^50%,,^50%,,,^50%,,Immune,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
A,302,Baron Skeletro,1,Zombie,-25%,,,,,^50%,,,,,Immune,-25%,^50%,Immune,Immune,Immune,,,^50%,,-25%,,,,,,,
A,303,Kon ,1,Nature,,^50%,Immune,,,,-25%,,Immune,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
A,304,Drosal Fiend,2,Beast,^50%,,,-25%,,,,,,,Immune,,,Immune,Immune,,-25%,-25%,,^50%,Immune,,,,,,Immune,
A,305,Guerriero di terracotta,2,Material,,,-25%,,,,,,,^50%,Immune,,Immune,-25%,Immune,^50%,Immune,^50%,-25%,,Immune,,,,,,,
A,306,Rosapiteco,1,Demon,,,,Immune,,,,,,,Immune,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
A,307,Terrorantula,2,Zombie,-25%,,,^50%,,Immune,,,^50%,-25%,Immune,-25%,^50%,^50%,^50%,^50%,^50%,,^50%,,,,,,,,,
A,308,Re Metalslime,1,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,^50%,,,,Immune,Immune,Immune,,^25%,Immune,Immune
A,309,Korol,1,Demon,,Immune,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
A,310,Generale Soinos,1,Beast,^50%,,,-25%,,,,Immune,,Immune,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
A,311,Generale Gufus,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,Immune,Immune,,
A,312,Taurus,2,Beast,^50%,,,-25%,Immune,,,,,Immune,^50%,Immune,Immune,^50%,Immune,^50%,-25%,-25%,,^50%,,,,Immune,,,Immune,
A,313,Capricorn,2,Zombie,-25%,,Immune,Immune,,^50%,,,,,Immune,-25%,^50%,^50%,^50%,^50%,^50%,,^50%,,-25%,,,,,,,
A,314,Forte di Nadiria,3,Material,,,-25%,,,,,,,Immune,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,-25%,,Immune,,,,-25%,-25%,,
A,315,Empyrea,3,Nature,,^50%,,,Absorb,-25%,-25%,,,,Immune,,Immune,Immune,Immune,Immune,Immune,,,-25%,^50%,,Immune,,Immune,,,
A,316,Stella,1,？？？系,,-25%,^50%,,Absorb,-25%,,,,,Immune,,,,-25%,-25%,,-25%,^50%,,,,,,^50%,-25%,,
A,317,Mini Zoma,1,？？？系,,-25%,^50%,,,Immune,,,,,Immune,,,,,Immune,,-25%,^50%,,,Immune,,,^50%,-25%,,
S,318,Tankissimus,3,Slime,,,,,Immune,-25%,,,,,Reflect,,Immune,Immune,Immune,Immune,Immune,^50%,,-25%,,-25%,,,-25%,^50%,Immune,
S,319,Black Dragon ,1,Dragon,,Immune,,,,Immune,Immune,,,-25%,Immune,^50%,-25%,,,,,,-25%,,^50%,,,,,,,
S,320,Scaradozer,1,Nature,-25%,^50%,,,,,-25%,,,,,,Immune,Immune,-25%,^50%,Immune,,,-25%,^50%,,,,,,,
S,321,Atlas,2,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,^50%,Immune,Immune,-25%,-25%,,^50%,,,,,,,,
S,322,Sanguinigenio,1,Beast,^50%,,,-25%,,,,,,,,Immune,,Immune,Immune,Immune,-25%,-25%,,^50%,,,,,,,,
S,323,Trap Box ,1,Material,,,-25%,,,,,,,^50%,Immune,,Immune,-25%,,Immune,^50%,^50%,-25%,,,,,,,,,
S,324,Dullahan,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,Immune,,,,
S,325,Slime Perbellum,1,Slime,,Immune,,,^50%,-25%,,,,,,,,,^50%,^50%,^50%,Immune,,-25%,,,,Immune,-25%,^50%,,
S,326,Draku Lard,1,Dragon,Immune,,,,Immune,,^50%,,,-25%,Immune,^50%,-25%,,,,,,-25%,,^50%,,,,,,,
S,327,Piovra regina,2,Nature,,^50%,,,,,-25%,,,Immune,^50%,,^50%,Immune,Immune,Immune,Immune,,,-25%,^50%,,,,,,,
S,328,Don Mole,1,Beast,^50%,,,-25%,,,,,,Reflect,,Immune,,-25%,Immune,,-25%,-25%,,^50%,,,,,,,,
S,329,Robocentauro,1,Material,,-25%,-25%,,,,,,,^50%,Immune,,Immune,-25%,,,^50%,^50%,-25%,,,,,Immune,,,,
S,330,Aamon,2,Demon,,,,^50%,-25%,,,,,,Immune,,,Immune,^50%,-25%,^50%,,,^50%,-25%,,,,Immune,,,Immune
S,331,Pope Skriterioska,1,Zombie,-25%,,,,,Immune,,,,,Immune,-25%,^50%,,,,,,^50%,Immune,-25%,,,,,,,
S,332,Tri Aculeo,2,Dragon,,,,,,,^50%,,,-25%,Immune,^50%,-25%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
S,333,Pipetto Anziano,1,Nature,,^50%,Immune,,Immune,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,,,,Immune,,
S,334,Randellatore notturno,1,Beast,^50%,,,-25%,,,,,,,Immune,,,,^50%,,-25%,-25%,,^50%,,,,,,,,
S,335,Scudorkus,1,Material,,Immune,-25%,,,,Immune,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,,,,,,,Immune,
S,336,Neromar,1,Demon,,Immune,,^50%,-25%,,,,,,Immune,,,^50%,,-25%,,,,^50%,-25%,,,,,,Immune,
S,337,Druido supremo,1,Zombie,-25%,Immune,Immune,Immune,^50%,Immune,Immune,,,,Immune,-25%,^50%,,,,Immune,,^50%,,-25%,,,,,,,
S,338,Ragazza Slider,2,Slime,,,Immune,Immune,^50%,-25%,,,Immune,,Immune,,Immune,Immune,Immune,Immune,Immune,^50%,,-25%,,,,Immune,-25%,^50%,Immune,
S,339,Dragobastro,2,Dragon,,,,,Absorb,,^50%,,Immune,-25%,Immune,^50%,-25%,Immune,Immune,Immune,Immune,,-25%,,^50%,,,,,,,
S,340,Pavone prismatico,1,Nature,Immune,^50%,,Immune,,,-25%,Immune,Immune,,,,-25%,-25%,-25%,^50%,-25%,,,-25%,^50%,,,,,,,
S,341,Musferatu,1,Beast,^50%,,Immune,-25%,,,,,Immune,-25%,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,,
S,342,Semper Actualis,1,Material,,,-25%,Immune,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,,,,,,Immune,,
S,343,Titanis,2,Demon,,,,^50%,-25%,,,,,,Immune,,,Immune,Immune,-25%,Immune,,,^50%,-25%,,,,,,,
S,344,Slime Darkonium,2,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,,Immune,Immune,^50%,,,,Immune,Immune,Immune,,,Immune,Immune
S,345,Grifotauro,2,Dragon,,,,,,,^50%,,,-25%,Immune,^50%,-25%,-25%,-25%,^50%,^50%,,-25%,,^50%,,,,,,,
S,346,Goresby Purrvis,1,Nature,,^50%,,,,Immune,-25%,,,,,Immune,,,-25%,^50%,,,,-25%,^50%,,,Immune,,,Immune,
S,347,Balzack,2,Beast,Immune,,,-25%,,,Immune,Immune,,,Immune,,,,Immune,,-25%,-25%,,^50%,,,,,,,,
S,348,Dragonlord,1,Dragon,,,,,,,Immune,,,-25%,Immune,^50%,-25%,,,,,,-25%,,Immune,,,,Immune,,,Immune
S,349,Re Sanguini,2,Beast,^50%,,,-25%,Absorb,,,,,Immune,Immune,,,^50%,Immune,^50%,-25%,-25%,,^50%,,,,,Immune,Immune,,
S,350,Mambu-Jambo,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,Immune,^50%,-25%,,,,,^50%,,,^50%,
S,351,Lacertow,1,Demon,,,,^50%,-25%,Immune,,,,,Immune,,,^50%,,-25%,,,,^50%,-25%,Immune,,,-25%,,,
S,352,Padramos,1,Demon,Immune,Immune,,^50%,-25%,,,,,,Immune,-25%,,^50%,,-25%,,,,^50%,-25%,,,,,,,
S,353,Hargon,1,Demon,,,,^50%,-25%,,,,,,Immune,Immune,,^50%,,-25%,,,,^50%,-25%,,,,Immune,,,
S,354,Malroth,2,Demon,,,-25%,^50%,-25%,Absorb,,,,,Immune,,Immune,Immune,Immune,-25%,Immune,,,^50%,-25%,,,,,,,
S,355,Darck,1,？？？系,,-25%,^50%,,,,,,,,Immune,Immune,,Immune,Immune,Immune,Immune,-25%,^50%,,,Immune,Immune,Immune,^50%,-25%,Immune,Immune
S,356,Tiranosfascia,1,Demon,,,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,Immune,,,^50%,-25%,,,,,,,
