Grado,#,Mostro,Dim.,Famiglia,PV,PM,Att.,Dif.,Agi.,Int.,Abilità e tratti,,,
B,204,Capitan Catastrofe,1,Demone,760,400,800,800,600,720,Attacco multiplo,Mitico critico,Prima e meglio,Desperado
B,205,Principe Spectros,1,Non-morti,720,500,720,700,860,640,Evasione totale,Confusion Attack,Counterslammer,Magic Drain Body
B,206,Soldaskeletro,1,Non-morti,840,420,740,640,640,480,Paralysis Attack,Astuzia del PickMagic,Random Break Bind,Salvezza stentata
B,207,Slime oscuro,1,Slime,740,520,620,680,830,900,Guru dell'Elektron,Enemy Tension Reset,Sfortunato,1-2 Moves
B,208,Tyrantosauro,1,Drago,900,180,860,660,740,240,Hit Squad (2),Mitico critico,Pressure,Whack Attack
B,209,Mantis composita,1,Natura,740,480,720,860,640,680,Hit Squad (2),Confusion Attack,Centro perfetto,Ammazzastandard
B,210,Pollo d'attacco,1,Bestia,840,120,800,820,1000,360,Centro perfetto,Guru del Vento,Vento frenante immediato,Astuzia del Vento
B,211,Rottame d'acciaio,1,Materiale,600,320,500,560,510,580,1-3 Moves,Hit Squad (2),Cari incantesimi,Ammazza Metallo
B,212,Druido del male,1,Demone,800,540,400,830,840,900,Guru dell'Elektron,Astuzia dell'Elektron,Intellygo casuale,1-2 Moves
B,213,Cavalier Mortimer,1,Non-morti,820,380,740,620,800,520,Contrattaccante,Astuzia del Confusore,Centro perfetto,Persistent
B,214,Ira,1,Non-morti,760,540,440,860,920,840,Hit Squad (3),Confusion Attack,Paralysing Body,Random Nether Fog
B,215,Ovomarch,1,Slime,780,440,640,980,600,680,Contrattaccante,Astuzia del Pyro,Velocipiù immediato,Magic Drain Body
B,216,Serpe eterea,2,Drago,1300,440,900,700,760,520,1-2 Mega Moves,Evasione totale,Astuzia del Debilis,Rare Tension
B,217,Falena gigante,1,Natura,780,540,600,800,640,720,Attacco multiplo,Paralysing Body,Vento frenante immediato,Magic Drain Body
B,218,Sanguonicum,1,Bestia,800,460,700,720,720,480,Evasione totale,Fascino strano,Crafty Saboteur,Onda di sollievo
B,219,Skrigno dentato,1,Materiale,780,400,700,840,760,560,Mitico critico,Scout Chance Up,Astuzia della Morte rapida,Immediate Fizzle
B,220,Juggulare,1,Demone,830,500,660,540,700,640,Hit Squad (4),Astuzia del Confusore,Ooomph casuale,1-2 Moves
B,221,Arcidemone,1,Demone,840,380,720,760,520,720,Guru del Bang,Astuzia del Bang,Enemy Tension Reset,1-2 Moves
B,222,Ossassassino,1,Non-morti,760,500,760,740,580,640,Desperado,Astuzia del Debilis,Paralysis Attack,Pressure
B,223,Milislime oscuro,1,Slime,820,460,680,800,540,600,Increase Tension,Guru dell'Elektron,Vento frenante casuale,Velocipiù immediato
B,224,Meglaodon,1,Drago,780,380,800,820,660,480,Evasione totale,Rigenerazione magica,Tensione casuale,Whack Attack
B,225,Frufrù,1,Drago,900,160,860,980,400,360,Desperado,Sleep Attack,Astuzia del Gelo,Astuzia del Sonnolento
B,226,Goreilla,1,Natura,880,140,700,860,900,480,Mitico critico,Intimidazione,Tensione casuale,1-2 Moves
B,227,Rossotalpa,1,Bestia,800,260,840,780,800,440,Gold Up,Item Chance Up,Exp Up,Scout Chance Up
B,228,Squigno,1,Bestia,720,500,740,740,700,800,Attacco multiplo,Gold Up,Exp Up,Scout Chance Up
B,229,Corriere Corrotto,1,Materiale,700,320,620,700,670,500,1-2 Moves,Electrifying,Sleep Attack,Immediate Break Bind
B,230,Armatura letale,1,Demone,820,380,760,860,560,440,Agguato esperto,Astuzia del Debilis,Enemy Tension Rise,Corpo Metallico Leggero
B,231,Boss Troll ,2,Demone,1500,220,900,880,400,160,1-2 Mega Moves,Hit Squad (2),Pressure,Desperado
B,232,Jamirus,1,Demone,610,420,420,400,460,840,2 Moves,Ally Tension Rise,Cari incantesimi,Astuzia della Fiamma
B,233,Cavalier Terror,1,Non-morti,820,330,800,660,720,560,Agguato esperto,Ammazzagiganti,Battimetallo,Centro perfetto
B,234,Ragin' Contagion ,1,Non-morti,860,520,520,580,680,840,Poison Body,Paralysing Body,Confusion Attack,Astuzia del Confusore
B,235,Multifoglia Klar,1,Slime,720,540,660,720,820,760,Exp Up,Crafty Saboteur,Astuzia del Blocca-K.O.,Autoguarigione
B,236,Dragoon,1,Drago,900,120,760,860,800,360,Evasione totale,Astuzia del Confusore,Superdifesa casuale,Autoguarigione
B,237,Cavaliere dei Draghi,1,Drago,740,320,620,520,660,560,1-2 Moves,Evasione totale,Enemy Tension Rise,Guru del Vento
B,238,Corvoscuro,1,Natura,770,460,620,820,840,600,Evasione totale,Enemy Tension Reset,Guru dell'Elektron,Vento frenante immediato
B,239,Tanamount,1,Bestia,820,400,720,720,620,680,Prima e meglio,Guru del Fulmine,Sfortunato,Anticontrattaccante
B,240,Jam,1,Materiale,900,320,660,900,440,600,Superdifesa immediata,Velocipiù immediato,Yellow-Belly,1-2 Moves
B,241,Cavaliere Aberrante,1,Demone,860,260,760,880,480,720,Hit Squad (3),Mitico critico,Astuzia del Sonnolento,Ammazzastandard
B,242,Cobra Cardinal ,1,Non-morti,740,540,600,700,820,880,Paralysis Attack,Astuzia dell'Elektron,Intellygo casuale,Magic Counter
B,243,Re Curaslime,1,Slime,900,540,360,780,590,860,Recupera & risparmia,Salvezza stentata,Intellygo casuale,Astuzia dello Stoopid
B,244,Lardodragon,1,Drago,900,300,800,840,390,340,Pressure,Increase Tension,Restless ,Astuzia del Blocca-K.O.
B,245,Lanciafuoco,1,Natura,820,480,780,540,500,720,Evasione totale,Guru della Fiamma,Vento frenante immediato,Astuzia della Fiamma
B,246,Pachidermico,2,Bestia,1500,380,740,640,480,480,1-2 Mega Moves,Mitico critico,Astuzia della Gravitas,Pressure
B,247,Wasen,3,Bestia,2300,190,800,600,240,360,2 Giga Moves,Hit Squad (2),Intimidazione,Ultimatum
B,248,Signore dei desideri,2,Materiale,1200,440,720,540,490,650,1-3 Mega Moves,Desperado,Cari incantesimi,Guru del Bang
B,249,Mago pancione,1,Demone,720,500,760,680,720,800,Evasione totale,Guru del Fulmine,Astuzia del Vento,Gambling Body
B,250,Cavaliere dell'Ombra,1,Non-morti,840,420,680,700,620,640,Attacco multiplo,Guru del Fulmine,Astuzia del Pyro,1-2 Moves
B,251,Leonix,1,？？？系,700,300,680,580,660,600,2 Moves,Yellow-Belly,Persistent,Astuzia del Diavolo
A,252,Tortaceratops,1,Drago,780,400,720,980,580,560,Hit Squad (2),Superdifesa immediata,Ultimatum,Increase Tension
A,253,Frigoforo,1,Natura,800,520,680,620,660,640,Evasione totale,Guru del Gelo,Immediate Fizzle,Astuzia del Gelo
A,254,Gigante,2,Bestia,1300,200,900,960,500,280,1-2 Mega Moves,Ultimatum,Astuzia del Velocimeno,Estremi opposti
A,255,Mechacentauro,1,Materiale,620,360,500,500,420,560,2 Moves,Electrifying,Cari incantesimi,Astuzia dell'Inazione
A,256,Demone multimani,1,Demone,660,320,440,560,380,600,2 Moves,Hit Squad (3),Cari incantesimi,Magic Drain Body
A,257,Ruban Hood,1,Demone,720,520,780,720,740,520,Increase Tension,Intimidazione,Enemy Tension Reset,Rare Tension
A,258,Kantalga,1,Non-morti,820,520,520,720,700,840,Ally Tension Rise,Enemy Tension Down,Enemy Tension Reset,Ritorno a sorpresa
A,259,Re Bollaslime,1,Slime,900,500,620,660,340,720,Poison Body,Poison Attack,Restless ,Ammazzastandard
A,260,Rashaverak,1,Drago,820,400,780,720,500,680,Attacco multiplo,Astuzia del Paralizzante,Velocipiù casuale,Salvezza stentata
A,261,Guerreruspo,1,Natura,720,420,820,680,800,720,Ooomph immediato,Desperado,Guru del Pyro,Critical Guard
A,262,Bufalorco,1,Bestia,870,200,800,900,640,360,Increase Tension,Astuzia del Blocca-K.O.,Tensione immediata,Ooomph immediato
A,263,Borgomietitore,1,Materiale,820,420,780,700,540,560,Attacco multiplo,Paralysing Body,Confused Frenzy,Ammazza Metallo
A,264,Hyperanemon,1,Demone,800,520,740,540,520,840,Guru del Fulmine,Astuzia del Fulmine,Poison Attack,Autoguarigione
A,265,Gigalunfo,1,Non-morti,900,260,820,900,360,360,Evasione totale,Restless ,Astuzia del Fulmine,1-2 Moves
A,266,Gang Slime,3,Slime,1800,400,500,550,1000,600,2-3 Giga Moves,Velocipiù immediato,Fascino strano,Cari incantesimi
A,267,Ardimentauro,1,Drago,820,380,800,640,600,640,Contrattaccante,Estremi opposti,Attacchi da panico,Autoguarigione
A,268,Kaiman,1,Natura,900,360,760,920,260,360,Evasione totale,Astuzia dell'Elektron,Restless ,Ammazzastandard
A,269,Marquis De Leon,2,Bestia,1300,460,920,760,540,680,1-2 Mega Moves,Hit Squad (3),Astuzia del Gelo,Astuzia del Pyro
A,270,Centopetra,1,Materiale,860,280,780,940,420,560,Gold Up,Astuzia del Diavolo,Battimetallo,Magic Barrier
A,271,Minitribù,1,Demone,740,400,700,800,900,680,Increase Tension,Hit Squad (4),Ritorno a sorpresa,Fascino strano
A,272,Exorsus,2,Non-morti,1300,700,500,700,800,1000,1-2 Mega Moves,Guru del Pyro,Astuzia del Pyro,Immediate Fizzle
A,273,Metal Kaiser Slime ,2,Slime,60,700,660,1600,1600,1180,1-2 Mega Moves,Corpo metallico,Prima e meglio,Immediate Break Bind
A,274,Gemines,2,Drago,1100,380,660,640,1000,710,2 Mega Moves,Attacco multiplo,Poison Attack,Ammazzastandard
A,275,Assalitore marino,1,Natura,780,300,740,780,880,680,Prima e meglio,Attacco multiplo,Guru dell'Elektron,Astuzia del Gelo
A,276,Cresta furiosa,1,Bestia,900,240,800,700,500,640,Mitico critico,Recupera & risparmia,Ooomph casuale,Desperado
A,277,Bo,1,Materiale,800,500,600,800,700,600,Velocipiù immediato,Autoguarigione,Astuzia della Gravitas,1-2 Moves
A,278,Gracos,1,Demone,840,440,580,820,600,760,Guru del Gelo,Astuzia del Respiro ghiacciato,Protective Fog,1-2 Moves
A,279,Anima torturata,1,Non-morti,860,520,400,720,750,900,Astuzia del Paralizzante,Guru del Pyro,Random Break Bind,Astuzia del Pyro
A,280,Gigadragone,1,Drago,820,240,900,800,600,480,Guru della Fiamma,Astuzia del Respiro di fuoco,Vento frenante casuale,Salvezza stentata
A,281,Virgax,2,Natura,1400,200,900,820,620,720,1-2 Mega Moves,Hit Squad (2),Recupera & risparmia,Imaginative
A,282,Slon la Torre,1,Bestia,900,360,860,460,500,400,Hit Squad (2),Mitico critico,Confused Frenzy,Critical Guard
A,283,Statua vivente,1,Materiale,860,320,740,940,400,600,Mitico critico,Astuzia dell'Indebolente,Superdifesa casuale,1-2 Moves
A,284,Scorpia,2,Demone,1300,400,720,660,1000,1000,1-2 Mega Moves,Hit Squad (2),Paralysis Attack,Enemy Tension Reset
A,285,Verme delle Grotte,1,Non-morti,840,420,720,620,620,640,Poison Body,Centro perfetto,Confusion Attack,Gambling Body
A,286,Ultra Slime,1,Slime,720,400,780,620,1000,680,Prima e meglio,Ammazzagiganti,Salvezza stentata,Ammazza Metallo
A,287,Garuda,1,Natura,720,460,680,800,920,640,Evasione totale,Persistent,Vento frenante casuale,Desperado
A,288,Basettos,1,Bestia,820,360,800,700,500,800,Increase Tension,Guru del Pyro,Pigrizia,Magic Counter
A,289,Mam,1,Materiale,700,500,800,800,550,900,Velocipiù immediato,Recupera & risparmia,Yellow-Belly,1-2 Moves
A,290,Barone Von Bellycose,2,Demone,1200,600,860,880,640,720,1-2 Mega Moves,Astuzia del Pyro,Imaginative,Electrifying
A,291,Gemon,2,Demone,1200,460,920,800,1000,480,1-2 Mega Moves,Centro perfetto,Gardameh,Magic Counter
A,292,Guardarosa,1,Non-morti,720,360,580,820,440,560,1-2 Moves,Contrattaccante,Superdifesa casuale,Desperado
A,293,Paladinorribilis,1,Non-morti,820,380,780,800,420,760,Battimetallo,Centro perfetto,Ammazzagiganti,Critical Guard
A,294,Slime Nemo,1,Slime,660,400,600,540,800,640,1-2 Moves,Intimidazione,Centro perfetto,Ammazza Metallo
A,295,Mechadrago,1,Drago,880,300,720,1000,380,520,Mitico critico,Paralysing Body,Astuzia del Paralizzante,Magic Counter
A,296,Fiore della morte,2,Natura,1300,400,550,720,280,750,1-3 Mega Moves,Hit Squad (2),Poison Body,Magic Drain Attack
A,297,Alfino,2,Bestia,1100,600,600,600,760,630,2 Mega Moves,Guru del Bang,Yellow-Belly,Magic Counter
A,298,Bu,1,Materiale,800,500,700,900,500,400,Recupera & risparmia,Rigenerazione magica,Despellado,1-2 Moves
A,299,Duran,1,Demone,800,400,800,560,740,600,Attacco multiplo,Intimidazione,Astuzia dell'Elektron,1-2 Moves
A,300,Bestiah,1,Demone,720,360,580,680,480,760,1-2 Moves,Guru del Bang,Recupera & risparmia,Increase Tension
A,301,Scimmia Zombie,1,Non-morti,760,500,720,640,680,800,Enemy Tension Rise,Immediate Break Bind,Random Break Bind,Velocipiù casuale
A,302,Baron Skeletro,1,Non-morti,820,440,500,760,920,720,Contrattaccante,Enemy Tension Reset,Confusion Attack,Ooomph casuale
A,303,Kon ,1,Natura,800,400,720,760,560,880,Hit Squad (3),Ammazza Metallo,Astuzia del Vento,Counterslammer
A,304,Drosal Fiend,2,Bestia,1300,520,720,620,900,800,1-2 Mega Moves,Guru del Vento,Astuzia della Morte rapida,Astuzia dell'Inazione
A,305,Guerriero di terracotta,2,Materiale,1100,320,740,960,680,630,1-3 Mega Moves,Guru del Vento,Magia evanescente,Critical Guard
A,306,Rosapiteco,1,Demone,800,400,660,800,680,800,Guru del Vento,Astuzia del Vento,Intellygo casuale,1-2 Moves
A,307,Terrorantula,2,Non-morti,1200,460,1040,760,600,880,1-2 Mega Moves,Gardameh,Astuzia del Vento,Astuzia dell'Elektron
A,308,Re Metalslime,1,Slime,60,540,420,1400,1400,880,Corpo metallico,Fuga da maestro,Astuzia della Danza proibita,Intellygo immediato
A,309,Korol,1,Demone,780,500,720,560,630,900,Desperado,Astuzia del Bang,Enemy Tension Down,Imaginative
A,310,Generale Soinos,1,Bestia,900,160,900,800,460,440,Increase Tension,Mitico critico,Tensione casuale,Contrattaccante
A,311,Generale Gufus,1,Demone,780,540,480,740,850,900,Astuzia del Confusore,Ritorno a sorpresa,Enemy Tension Rise,Magic Counter
A,312,Taurus,2,Bestia,1200,320,860,640,880,640,1-2 Mega Moves,Despellado,Confused Frenzy,Estremi opposti
A,313,Capricorn,2,Non-morti,1200,600,840,640,780,1000,1-2 Mega Moves,Evasione totale,Astuzia del Paralizzante,Tensione immediata
A,314,Forte di Nadiria,3,Materiale,2100,410,750,860,320,600,2 Giga Moves,Gambling Body,Superdifesa immediata,Ultimatum
A,315,Empyrea,3,Natura,1900,400,740,820,1000,1000,1-3 Giga Moves,Hit Squad (2),Astuzia del Fulmine,Guru del Fulmine
A,316,Stella,1,？？？系,740,480,640,550,1000,900,Attacco multiplo,Enemy Tension Reset,Ritorno a sorpresa,Fortunato
A,317,Mini Zoma,1,？？？系,720,420,480,600,570,900,1-2 Moves,Attacco multiplo,Cari incantesimi,Onda distruttrice
S,318,Tankissimus,3,Slime,1700,240,880,1000,240,640,2 Giga Moves,Corpo Metallico Leggero,Ammazzagiganti,Ultimatum
S,319,Black Dragon ,1,Drago,1000,360,800,720,660,600,Guru dell'Elektron,Gardameh,Astuzia del Pyro,Ooomph casuale
S,320,Scaradozer,1,Natura,900,360,920,1000,620,440,Increase Tension,Superdifesa immediata,Tensione immediata,Astuzia del Velocimeno
S,321,Atlas,2,Bestia,1400,300,500,900,500,300,1-3 Mega Moves,Estremi opposti,Increase Tension,Rare Tension
S,322,Sanguinigenio,1,Bestia,1000,560,520,900,440,1000,Evasione totale,Contrattaccante,Confusion Attack,Enemy Tension Reset
S,323,Trap Box ,1,Materiale,900,560,740,800,640,720,Mitico critico,Gambling Body,Magic Drain Body,Protective Fog
S,324,Dullahan,1,Non-morti,800,520,820,920,720,960,Increase Tension,Ooomph immediato,Paralysis Attack,Tensione casuale
S,325,Slime Perbellum,1,Slime,660,660,680,660,620,800,1-2 Moves,Contrattaccante,Centro perfetto,Ultimatum
S,326,Draku Lard,1,Drago,1000,200,900,1000,540,520,Mitico critico,Pressure,Protective Fog,Gardameh
S,327,Piovra regina,2,Natura,1350,400,1000,600,400,300,1-3 Mega Moves,Attacco multiplo,Astuzia del Velocimeno,Imaginative
S,328,Don Mole,1,Bestia,900,560,840,940,420,480,Contrattaccante,Whack Attack,Enemy Tension Down,Random Fizzle
S,329,Robocentauro,1,Materiale,630,500,510,620,640,400,2 Moves,Hit Squad (3),Astuzia dell'Inazione,Cari incantesimi
S,330,Aamon,2,Demone,1300,800,580,860,1100,1360,1-2 Mega Moves,Onda di sollievo,Cari incantesimi,Magic Counter
S,331,Pope Skriterioska,1,Non-morti,800,600,580,540,400,1000,1-2 Moves,Astuzia della Fiamma,Magic Counter,Intellygo immediato
S,332,Tri Aculeo,2,Drago,1480,400,740,400,400,700,1-3 Mega Moves,Hit Squad (3),Astuzia del Gelo,Astuzia dell'Inazione
S,333,Pipetto Anziano,1,Natura,600,1000,500,800,1200,1200,Velocipiù casuale,Astuzia del Bang,Guru della Gravitas,Intellygo casuale
S,334,Randellatore notturno,1,Bestia,1000,260,1000,1000,320,320,Ultimatum,Ammazzagiganti,Yellow-Belly,Persistent
S,335,Scudorkus,1,Materiale,800,480,880,1200,620,520,Superdifesa immediata,Astuzia del Respiro ghiacciato,Corpo Metallico Leggero,Critical Guard
S,336,Neromar,1,Demone,600,540,630,610,250,800,2 Moves,Guru del Pyro,Astuzia del Respiro di fuoco,Yellow-Belly
S,337,Druido supremo,1,Non-morti,800,1000,200,940,960,1000,Poison Body,Rigenerazione magica,Magic Drain Attack,Intellygo casuale
S,338,Ragazza Slider,2,Slime,1000,500,750,500,2000,700,1-3 Mega Moves,Ooomph immediato,Tensione immediata,Ally Tension Rise
S,339,Dragobastro,2,Drago,1300,600,1060,1000,640,880,1-2 Mega Moves,Increase Tension,Astuzia del Respiro di fuoco,Onda di sollievo
S,340,Pavone prismatico,1,Natura,860,620,840,640,740,520,Astuzia del Respiro di fuoco,Astuzia del Respiro ghiacciato,Onda di sollievo,Prima e meglio
S,341,Musferatu,1,Bestia,820,620,880,680,640,800,Enemy Tension Down,Poison Attack,Astuzia del Veleno,Rigenerazione magica
S,342,Semper Actualis,1,Materiale,600,660,410,420,540,1000,1-3 Moves,Velocipiù immediato,Intellygo immediato,Cari incantesimi
S,343,Titanis,2,Demone,1300,800,540,440,430,1200,2 Mega Moves,Gardameh,Intimidazione,Pressure
S,344,Slime Darkonium,2,Slime,60,720,620,1500,1500,1285,2 Mega Moves,Corpo metallico,Hit Squad (3),Ultimatum
S,345,Grifotauro,2,Drago,1200,600,600,1000,1200,1200,1-2 Mega Moves,Prima e meglio,Estremi opposti,Yellow-Belly
S,346,Goresby Purrvis,1,Natura,530,300,800,610,800,540,2 Moves,Intimidazione,Estremi opposti,Yellow-Belly
S,347,Balzack,2,Bestia,1300,500,1000,700,140,620,1-3 Mega Moves,Hit Squad (2),Ammazzastandard,Yellow-Belly
S,348,Dragonlord,1,Drago,860,600,720,700,760,920,Gardameh,Astuzia dello Spruzzo,Vento frenante immediato,Immediate Break Bind
S,349,Re Sanguini,2,Bestia,1100,800,500,700,1000,1300,2 Mega Moves,Hit Squad (2),Malocchio immediato,Malocchio casuale
S,350,Mambu-Jambo,1,Materiale,820,540,1000,1000,300,680,Guru del Bang,Paralysing Body,Astuzia del Debilis,Battimetallo
S,351,Lacertow,1,Demone,920,520,640,720,800,960,Guru del Gelo,Astuzia del Respiro ghiacciato,Astuzia del Sonnolento,Random Break Bind
S,352,Padramos,1,Demone,780,600,520,560,580,1000,1-2 Moves,Attacco multiplo,Guru della Fiamma,Astuzia del Respiro di fuoco
S,353,Hargon,1,Demone,940,580,620,760,600,960,Autoguarigione,Attacco multiplo,Astuzia dello Spruzzo,Intellygo casuale
S,354,Malroth,2,Demone,1260,680,680,670,420,1000,2 Mega Moves,Attacco multiplo,Recupera & risparmia,Onda distruttrice
S,355,Darck,1,？？？系,1000,460,700,700,580,800,Enemy Tension Reset,Counterslammer,Enemy Tension Down,Onda distruttrice
S,356,Tiranosfascia,1,Demone,700,220,800,520,450,380,2 Moves,Imaginative,Electrifying,Cari incantesimi
S,357,Capitan Crow,1,Non-morti,920,500,760,840,760,400,Increase Tension,Ally Tension Rise,Onda distruttrice,Vento frenante casuale
S,358,Nonno Slime,2,Slime,1300,800,740,1000,720,1200,1-2 Mega Moves,Onda distruttrice,Rare Tension,Guru del Fulmine
S,359,Cancerio,3,Slime,2550,200,800,800,200,400,2 Giga Moves,Hit Squad (2),Salvezza stentata,Protective Fog
S,360,Piovron,3,Natura,2300,400,900,760,440,800,2 Giga Moves,Hit Squad (2),Increase Tension,Astuzia della Danzaluce
S,361,Dholmagus,1,Bestia,800,560,800,860,720,1000,Attacco multiplo,Increase Tension,Contrattaccante,Guru dell'Elektron
S,362,Cybercentauro,1,Materiale,800,200,900,900,600,200,1-2 Moves,Hit Squad (3),Magic Counter,Ooomph casuale
S,363,Slime Blaster,3,Slime,2000,600,500,1000,200,1200,1-3 Giga Moves,Magic Counter,Anticontrattaccante,Sveglia ritardata
S,364,Re Godwyn,3,Non-morti,1900,700,550,500,800,1000,2-3 Giga Moves,Magic Drain Attack,Onda distruttrice,Magia evanescente
S,365,Rovina,3,Materiale,2150,200,800,1000,200,400,2 Giga Moves,Estremi opposti,Magia evanescente,Ultimatum
SS,366,Prezioslime,2,Slime,80,800,640,1800,1800,1400,1-2 Mega Moves,Corpo metallico,Hit Squad (3),Enemy Tension Rise
SS,367,Dragonlord,2,Drago,1100,520,1000,900,600,820,1-3 Mega Moves,Increase Tension,Salvezza stentata,Sfortunato
SS,368,Leopold,1,Natura,840,540,740,820,1000,520,Evasione totale,Prima e meglio,Ammazzagiganti,Malocchio immediato
SS,369,Psaro,2,Materiale,1400,500,1000,900,800,600,1-2 Mega Moves,Desperado,Astuzia della Morte rapida,Magic Counter
SS,370,Robbin's Lady,2,Bestia,1250,400,960,600,700,660,2 Mega Moves,Attacco multiplo,Tensione immediata,Fascino strano
SS,371,Principe Latrum,1,Demone,760,360,820,620,760,440,1-2 Moves,Pressure,Enemy Tension Down,Confused Frenzy
SS,372,Nimzo,2,？？？系,1300,500,720,700,600,820,2 Mega Moves,Onda distruttrice,Astuzia dell'Indebolente,Rare Tension
SS,373,Xiphos,3,Drago,1900,400,800,540,1000,720,2-3 Giga Moves,Hit Squad (2),Critical Guard,Magia evanescente
SS,374,Sliamante,1,Slime,100,400,750,1400,1400,1000,Corpo Metallico Duro,Tensione casuale,Magic Drain Attack,Magia evanescente
SS,375,Orochi,3,Drago,2600,220,720,520,340,520,1-3 Giga Moves,Hit Squad (4),Astuzia del Respiro di fuoco,Rare Tension
SS,376,Trode,1,Natura,880,600,800,700,680,600,Increase Tension,Contrattaccante,Fuga da maestro,Enemy Tension Reset
SS,377,Pruslas,3,Bestia,2200,200,800,800,200,400,1-3 Giga Moves,Estremi opposti,Ultimatum,Yellow-Belly
SS,378,Traumatizzator,2,Materiale,1200,400,830,1000,730,720,2 Mega Moves,Guru del Bang,Astuzia dell'Inazione,Magic Barrier
SS,379,Scruffy,1,Demone,800,600,800,500,1000,1000,Enemy Tension Down,Scout Chance Up,Anticontrattaccante,Protective Fog
SS,380,Prof Briskod,2,Non-morti,1100,600,920,700,610,1200,2 Mega Moves,Hit Squad (2),Poison Body,Confusion Attack
SS,381,Zoma,1,？？？系,620,600,660,860,640,1000,1-2 Moves,Magic Counter,Astuzia del Gelo,Intellygo immediato
SS,382,Re Metaliquislime,3,Slime,200,1000,565,1600,1600,1490,2-3 Giga Moves,Corpo metallico,Ammazzastandard,Gambling Body
SS,383,Barbarus,2,Drago,1300,280,940,710,600,800,2 Mega Moves,Pressure,Astuzia della Gravitas,Random Nether Fog
SS,384,Divino,1,Natura,840,590,760,760,700,960,Ritorno a sorpresa,Onda di sollievo,Fortunato,Intellygo immediato
SS,385,Ovattino,1,Bestia,820,540,840,700,900,720,Ally Tension Rise,Scout Chance Up,Magic Counter,Protective Fog
SS,386,Carro Slival,3,Materiale,1800,300,850,1000,100,400,1-3 Giga Moves,Corpo Metallico Leggero,Desperado,Cari incantesimi
SS,387,Moltomort,2,？？？系,1000,800,870,710,800,1000,1-3 Mega Moves,Attacco multiplo,Immediate Nether Fog,Onda distruttrice
SS,388,Re Babbuino,3,？？？系,2100,400,550,640,560,800,2-3 Giga Moves,Sleep Attack,Anticontrattaccante,Cari incantesimi
SS,389,Dragriphon,2,Drago,1300,320,920,670,650,700,2 Mega Moves,Guru del Fulmine,Ritorno a sorpresa,Ooomph casuale
SS,390,Yggdrasil,3,Natura,2000,1200,600,1000,400,800,1-3 Giga Moves,Hit Squad (4),Contrattaccante,Salvezza stentata
SS,391,Sagitta,3,Materiale,2300,400,600,1000,800,800,2 Giga Moves,Hit Squad (4),Prima e meglio,Random Break Bind
SS,392,Granvert,2,？？？系,1100,700,830,800,490,1200,1-3 Mega Moves,Attacco multiplo,Astuzia del Respiro ghiacciato,Imaginative
SS,393,Gadis,3,？？？系,1900,600,550,750,650,1200,2-3 Giga Moves,Hit Squad (2),Onda distruttrice,Magia evanescente
SS,394,Xenlon,2,Drago,1300,420,780,800,580,740,1-3 Mega Moves,Guru del Fulmine,Astuzia del Respiro di fuoco,Random Fizzle
SS,395,Munchie,1,Natura,720,600,920,740,980,720,Astuzia del Respiro di fuoco,Astuzia del Respiro ghiacciato,Fascino strano,Ally Tension Rise
SS,396,Nokturnus,1,Demone,760,300,900,620,640,600,1-2 Moves,Attacco multiplo,Contrattaccante,Yellow-Belly
SS,397,Rhapthorne,1,？？？系,820,600,520,980,1000,1000,Evasione totale,Onda distruttrice,Crafty Saboteur,Magic Barrier
SS,398,Dark Robot Slime,3,Slime,1500,400,650,900,1000,1000,2-3 Giga Moves,Hit Squad (2),Estremi opposti,Cari incantesimi
SS,399,Drago dimensionale,2,Drago,1300,500,850,600,800,800,2-3 Mega Moves,Counterslammer,Enemy Tension Rise,Yellow-Belly
SS,400,Aquarion,3,Bestia,2600,240,600,600,520,400,2 Giga Moves,Increase Tension,Mitico critico,Magic Barrier
SS,401,Estark,3,Materiale,2350,450,820,730,460,540,2 Giga Moves,Hit Squad (2),Onda distruttrice,Restless
SS,402,Rhapthorne II,3,？？？系,2200,800,600,800,400,1200,1-3 Giga Moves,Hit Squad (2),Astuzia dell'Elektron,Astuzia del PickMagic
SS,403,Terrore alato,3,Natura,2200,600,600,700,1200,600,2 Giga Moves,Hit Squad (2),Astuzia del Respiro ghiacciato,Vento frenante casuale
SS,404,Malevoleonex,3,？？？系,2300,300,900,720,780,600,2 Giga Moves,Sleep Attack,Astuzia del Pyro,Malocchio casuale
SS,405,Leonex,3,？？？系,2300,300,800,800,800,800,2 Giga Moves,Hit Squad (2),Astuzia del Diavolo,Yellow-Belly
SS,406,Rigor Mortex,3,？？？系,2300,620,600,1100,360,600,1-3 Giga Moves,Magic Counter,Gambling Body,Immediate Nether Fog
SS,407,Magarugi,3,？？？系,2000,900,540,770,1000,1500,1-3 Giga Moves,Hit Squad (3),Astuzia del Fulmine,Astuzia dell'Elektron
SS,408,Corvus,1,？？？系,600,360,770,600,380,720,2 Moves,Onda distruttrice,Astuzia dell'Elektron,Ritorno a sorpresa
SS,409,Sire Dragoviano,2,Drago,1500,200,1100,1000,700,600,1-2 Mega Moves,Mitico critico,Desperado,Despellado
SS,410,Drago di Zenithia,3,Drago,2400,400,600,800,600,800,1-3 Giga Moves,Hit Squad (4),Desperado,Counterslammer
SS,411,Babbuincubo,3,？？？系,1900,550,550,720,780,1200,2-3 Giga Moves,Hit Squad (2),Magic Counter,Cari incantesimi
